sample,dataset,type,rotation,bits,dims,recall10,recall100,recall10in100
100k,emb_nomic,BFloat16,original,6,640,0.65,0.6265,0.995
100k,emb_nomic,BFloat16,original,6,768,0.68,0.6595,1.0
100k,emb_nomic,BFloat16,original,7,128,0.305,0.268,0.665
100k,emb_nomic,BFloat16,original,7,256,0.5,0.43,0.865
100k,emb_nomic,BFloat16,original,7,384,0.56,0.512,0.94
100k,emb_nomic,BFloat16,original,7,512,0.62,0.579,0.955
100k,emb_nomic,BFloat16,original,7,640,0.645,0.6275,0.995
100k,emb_nomic,BFloat16,original,7,768,0.685,0.663,0.995
100k,emb_nomic,BFloat16,original,8,128,0.52,0.467,0.895
100k,emb_nomic,BFloat16,original,8,256,0.64,0.6005,0.975
100k,emb_nomic,BFloat16,original,8,384,0.715,0.6855,0.995
100k,emb_nomic,BFloat16,original,8,512,0.74,0.7295,1.0
100k,emb_nomic,BFloat16,original,8,640,0.765,0.7675,1.0
100k,emb_nomic,BFloat16,original,8,768,0.78,0.814,1.0
100k,emb_nomic,BFloat16,original,9,128,0.6,0.5225,0.96
100k,emb_nomic,BFloat16,original,9,256,0.715,0.668,0.995
100k,emb_nomic,BFloat16,original,9,384,0.79,0.7425,0.995
100k,emb_nomic,BFloat16,original,9,512,0.835,0.789,1.0
100k,emb_nomic,BFloat16,original,9,640,0.865,0.834,1.0
100k,emb_nomic,BFloat16,original,9,768,0.885,0.8635,1.0
100k,emb_nomic,BFloat16,original,10,128,0.665,0.576,0.98
100k,emb_nomic,BFloat16,original,10,256,0.77,0.7115,0.99
100k,emb_nomic,BFloat16,original,10,384,0.85,0.791,0.995
100k,emb_nomic,BFloat16,original,10,512,0.89,0.8335,1.0
100k,emb_nomic,BFloat16,original,10,640,0.915,0.8865,1.0
100k,emb_nomic,BFloat16,original,10,768,0.94,0.9325,1.0
100k,emb_nomic,BFloat16,original,11,128,0.67,0.588,0.985
100k,emb_nomic,BFloat16,original,11,256,0.795,0.725,1.0
100k,emb_nomic,BFloat16,original,11,384,0.875,0.806,1.0
100k,emb_nomic,BFloat16,original,11,512,0.89,0.8635,1.0
100k,emb_nomic,BFloat16,original,11,640,0.93,0.91,1.0
100k,emb_nomic,BFloat16,original,11,768,0.98,0.9565,1.0
100k,emb_nomic,BFloat16,original,12,128,0.67,0.592,0.985
100k,emb_nomic,BFloat16,original,12,256,0.78,0.7315,1.0
100k,emb_nomic,BFloat16,original,12,384,0.87,0.814,1.0
100k,emb_nomic,BFloat16,original,12,512,0.9,0.8655,1.0
100k,emb_nomic,BFloat16,original,12,640,0.955,0.916,1.0
100k,emb_nomic,BFloat16,original,12,768,0.99,0.9805,1.0
100k,emb_nomic,BFloat16,original,13,128,0.69,0.5925,0.985
100k,emb_nomic,BFloat16,original,13,256,0.78,0.733,1.0
100k,emb_nomic,BFloat16,original,13,384,0.875,0.8105,1.0
100k,emb_nomic,BFloat16,original,13,512,0.9,0.862,1.0
100k,emb_nomic,BFloat16,original,13,640,0.945,0.916,1.0
100k,emb_nomic,BFloat16,original,13,768,0.995,0.9845,1.0
100k,emb_nomic,BFloat16,original,14,128,0.69,0.5895,0.985
100k,emb_nomic,BFloat16,original,14,256,0.78,0.734,1.0
100k,emb_nomic,BFloat16,original,14,384,0.885,0.8115,1.0
100k,emb_nomic,BFloat16,original,14,512,0.9,0.8615,1.0
100k,emb_nomic,BFloat16,original,14,640,0.935,0.916,1.0
100k,emb_nomic,BFloat16,original,14,768,1.0,0.995,1.0
100k,emb_nomic,BFloat16,original,15,128,0.695,0.5915,0.98
100k,emb_nomic,BFloat16,original,15,256,0.78,0.7335,1.0
100k,emb_nomic,BFloat16,original,15,384,0.89,0.8115,1.0
100k,emb_nomic,BFloat16,original,15,512,0.9,0.862,1.0
100k,emb_nomic,BFloat16,original,15,640,0.935,0.916,1.0
100k,emb_nomic,BFloat16,original,15,768,0.995,0.997,1.0
100k,emb_nomic,BFloat16,original,16,128,0.69,0.5905,0.98
100k,emb_nomic,BFloat16,original,16,256,0.78,0.7345,1.0
100k,emb_nomic,BFloat16,original,16,384,0.885,0.8115,1.0
100k,emb_nomic,BFloat16,original,16,512,0.895,0.8635,1.0
100k,emb_nomic,BFloat16,original,16,640,0.935,0.9165,1.0
100k,emb_nomic,BFloat16,original,16,768,1.0,1.0,1.0
100k,emb_nomic,BFloat16,rotated,1,128,0.0,0.0005,0.005
100k,emb_nomic,BFloat16,rotated,1,256,0.0,0.0005,0.005
100k,emb_nomic,BFloat16,rotated,1,384,0.0,0.0005,0.005
100k,emb_nomic,BFloat16,rotated,1,512,0.0,0.0005,0.005
100k,emb_nomic,BFloat16,rotated,1,640,0.0,0.0005,0.005
100k,emb_nomic,BFloat16,rotated,1,768,0.0,0.0005,0.005
100k,emb_nomic,BFloat16,rotated,2,128,0.0,0.0005,0.005
100k,emb_nomic,BFloat16,rotated,2,256,0.0,0.0005,0.005
100k,emb_nomic,BFloat16,rotated,2,384,0.0,0.0005,0.005
100k,emb_nomic,BFloat16,rotated,2,512,0.0,0.0005,0.005
100k,emb_nomic,BFloat16,rotated,2,640,0.0,0.0005,0.005
100k,emb_nomic,BFloat16,rotated,2,768,0.0,0.0005,0.005
100k,emb_nomic,BFloat16,rotated,3,128,0.23,0.215,0.57
100k,emb_nomic,BFloat16,rotated,3,256,0.4,0.3875,0.85
100k,emb_nomic,BFloat16,rotated,3,384,0.545,0.502,0.93
100k,emb_nomic,BFloat16,rotated,3,512,0.605,0.566,0.95
100k,emb_nomic,BFloat16,rotated,3,640,0.63,0.614,0.96
100k,emb_nomic,BFloat16,rotated,3,768,0.67,0.6625,0.98
100k,emb_nomic,BFloat16,rotated,4,128,0.23,0.215,0.57
100k,emb_nomic,BFloat16,rotated,4,256,0.4,0.3875,0.85
100k,emb_nomic,BFloat16,rotated,4,384,0.545,0.502,0.93
